#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.90 1472.81  39.31  10.06   0.48    4.01 0.256 -0.505
  0.91 1474.12  39.28  10.09   0.48    3.99 0.257 -0.512
  0.92 1475.44  39.25  10.11   0.49    3.98 0.258 -0.520
  0.93 1476.75  39.22  10.14   0.49    3.97 0.258 -0.528
  0.94 1478.06  39.19  10.16   0.49    3.95 0.259 -0.535
  0.95 1479.37  39.15  10.19   0.50    3.94 0.260 -0.543
  0.96 1480.67  39.12  10.21   0.50    3.93 0.261 -0.550
  0.97 1481.98  39.09  10.24   0.50    3.91 0.262 -0.558
  0.98 1483.28  39.06  10.26   0.51    3.90 0.263 -0.565
  0.99 1484.57  39.03  10.29   0.51    3.89 0.264 -0.573
  1.00 1485.87  39.00  10.31   0.51    3.87 0.264 -0.580
  1.01 1487.16  38.96  10.34   0.52    3.86 0.265 -0.588
  1.02 1488.45  38.93  10.36   0.52    3.85 0.266 -0.595
  1.03 1489.73  38.90  10.39   0.52    3.84 0.267 -0.602
  1.04 1491.02  38.87  10.41   0.53    3.82 0.268 -0.610
  1.05 1492.30  38.84  10.44   0.53    3.81 0.269 -0.617
  1.06 1493.58  38.80  10.47   0.53    3.80 0.270 -0.624
  1.07 1494.85  38.77  10.49   0.53    3.78 0.271 -0.632
  1.08 1496.13  38.74  10.52   0.54    3.77 0.272 -0.639
  1.09 1497.40  38.71  10.55   0.54    3.76 0.272 -0.646
  1.10 1498.67  38.68  10.57   0.54    3.75 0.273 -0.653
  1.11 1499.93  38.65  10.60   0.55    3.73 0.274 -0.660
  1.12 1501.20  38.61  10.63   0.55    3.72 0.275 -0.667
  1.13 1502.46  38.58  10.65   0.55    3.71 0.276 -0.674
  1.14 1503.71  38.55  10.68   0.56    3.70 0.277 -0.681
  1.15 1504.97  38.52  10.71   0.56    3.69 0.278 -0.688
  1.16 1506.22  38.49  10.74   0.56    3.67 0.279 -0.695
  1.17 1507.47  38.46  10.76   0.57    3.66 0.280 -0.702
  1.18 1508.72  38.43  10.79   0.57    3.65 0.281 -0.709
  1.19 1509.96  38.39  10.82   0.57    3.64 0.282 -0.716
  1.20 1511.21  38.36  10.85   0.58    3.62 0.283 -0.723
  1.21 1512.44  38.33  10.88   0.58    3.61 0.284 -0.730
  1.22 1513.68  38.30  10.90   0.58    3.60 0.285 -0.737
  1.23 1514.91  38.26  10.93   0.59    3.59 0.286 -0.744
  1.24 1516.14  38.23  10.96   0.59    3.58 0.287 -0.750
  1.25 1517.37  38.20  10.99   0.59    3.57 0.288 -0.757
  1.26 1518.60  38.17  11.02   0.60    3.55 0.289 -0.764
  1.27 1519.82  38.14  11.05   0.60    3.54 0.290 -0.771
  1.28 1521.04  38.10  11.08   0.60    3.53 0.291 -0.777
  1.29 1522.26  38.07  11.11   0.61    3.52 0.292 -0.784
  1.30 1523.47  38.04  11.14   0.61    3.51 0.293 -0.790
  1.31 1524.68  38.01  11.17   0.61    3.50 0.294 -0.797
  1.32 1525.89  37.98  11.20   0.62    3.48 0.295 -0.804
  1.33 1527.10  37.94  11.23   0.62    3.47 0.296 -0.810
  1.34 1528.30  37.91  11.26   0.62    3.46 0.297 -0.817
  1.35 1529.50  37.88  11.29   0.63    3.45 0.298 -0.823
  1.36 1530.70  37.85  11.32   0.63    3.44 0.299 -0.830
  1.37 1531.89  37.82  11.35   0.63    3.43 0.300 -0.836
  1.38 1533.09  37.79  11.38   0.64    3.42 0.301 -0.842
  1.39 1534.27  37.76  11.41   0.64    3.41 0.302 -0.849
  1.40 1535.46  37.73  11.44   0.64    3.40 0.303 -0.855
  1.41 1536.64  37.70  11.47   0.65    3.39 0.304 -0.861
  1.42 1537.83  37.67  11.50   0.65    3.37 0.305 -0.868
  1.43 1539.00  37.64  11.54   0.65    3.36 0.306 -0.874
  1.44 1540.18  37.61  11.57   0.66    3.35 0.308 -0.880
  1.45 1541.35  37.58  11.60   0.66    3.34 0.309 -0.887
  1.46 1542.52  37.55  11.63   0.66    3.33 0.310 -0.893
  1.47 1543.69  37.52  11.66   0.67    3.32 0.311 -0.899
  1.48 1544.85  37.49  11.70   0.67    3.31 0.312 -0.905
  1.49 1546.01  37.46  11.73   0.68    3.30 0.313 -0.911
  1.50 1547.17  37.43  11.76   0.68    3.29 0.314 -0.917
  1.51 1548.33  37.40  11.79   0.68    3.28 0.315 -0.923
  1.52 1549.48  37.37  11.83   0.69    3.27 0.316 -0.929
  1.53 1550.63  37.34  11.86   0.69    3.26 0.318 -0.936
  1.54 1551.78  37.32  11.89   0.69    3.25 0.319 -0.942
  1.55 1552.92  37.29  11.93   0.70    3.24 0.320 -0.948
  1.56 1554.07  37.26  11.96   0.70    3.23 0.321 -0.953
  1.57 1555.20  37.23  12.00   0.70    3.22 0.322 -0.959
  1.58 1556.34  37.20  12.03   0.71    3.21 0.323 -0.965
  1.59 1557.47  37.17  12.07   0.71    3.20 0.325 -0.971
  1.60 1558.60  37.14  12.10   0.71    3.19 0.326 -0.977
  1.61 1559.73  37.11  12.13   0.72    3.18 0.327 -0.983
  1.62 1560.86  37.09  12.17   0.72    3.18 0.328 -0.989
  1.63 1561.98  37.06  12.20   0.73    3.17 0.329 -0.995
  1.64 1563.10  37.03  12.24   0.73    3.16 0.331 -1.000
  1.65 1564.21  37.00  12.28   0.73    3.15 0.332 -1.006
  1.66 1565.33  36.97  12.31   0.74    3.14 0.333 -1.012
  1.67 1566.44  36.94  12.35   0.74    3.13 0.334 -1.017
  1.68 1567.54  36.92  12.38   0.74    3.12 0.335 -1.023
  1.69 1568.65  36.89  12.42   0.75    3.11 0.337 -1.029
  1.70 1569.75  36.86  12.46   0.75    3.10 0.338 -1.034
  1.71 1570.85  36.83  12.49   0.76    3.09 0.339 -1.040
  1.72 1571.95  36.81  12.53   0.76    3.08 0.340 -1.046
  1.73 1573.04  36.78  12.57   0.76    3.07 0.342 -1.051
  1.74 1574.13  36.75  12.60   0.77    3.07 0.343 -1.057
  1.75 1575.22  36.72  12.64   0.77    3.06 0.344 -1.062
  1.76 1576.30  36.70  12.68   0.78    3.05 0.346 -1.068
  1.77 1577.38  36.67  12.72   0.78    3.04 0.347 -1.073
  1.78 1578.46  36.64  12.76   0.78    3.03 0.348 -1.079
  1.79 1579.54  36.62  12.79   0.79    3.02 0.349 -1.084
  1.80 1580.61  36.59  12.83   0.79    3.01 0.351 -1.090
  1.81 1581.68  36.56  12.87   0.80    3.01 0.352 -1.095
  1.82 1582.74  36.54  12.91   0.80    3.00 0.353 -1.100
  1.83 1583.81  36.51  12.95   0.81    2.99 0.355 -1.106
  1.84 1584.87  36.48  12.99   0.81    2.98 0.356 -1.111
  1.85 1585.93  36.46  13.03   0.81    2.97 0.357 -1.116
  1.86 1586.98  36.43  13.07   0.82    2.96 0.359 -1.122
  1.87 1588.03  36.41  13.11   0.82    2.96 0.360 -1.127
  1.88 1589.08  36.38  13.15   0.83    2.95 0.361 -1.132
  1.89 1590.13  36.35  13.19   0.83    2.94 0.363 -1.137
  1.90 1591.17  36.33  13.23   0.84    2.93 0.364 -1.142
  1.91 1592.21  36.30  13.27   0.84    2.92 0.366 -1.148
  1.92 1593.25  36.28  13.31   0.85    2.92 0.367 -1.153
  1.93 1594.28  36.25  13.35   0.85    2.91 0.368 -1.158
  1.94 1595.31  36.23  13.40   0.86    2.90 0.370 -1.163
  1.95 1596.34  36.20  13.44   0.86    2.89 0.371 -1.168
  1.96 1597.36  36.18  13.48   0.86    2.89 0.373 -1.173
  1.97 1598.39  36.15  13.52   0.87    2.88 0.374 -1.178
  1.98 1599.40  36.13  13.57   0.87    2.87 0.376 -1.183
  1.99 1600.42  36.10  13.61   0.88    2.86 0.377 -1.188
  2.00 1601.43  36.08  13.65   0.88    2.85 0.378 -1.193
  2.01 1602.44  36.05  13.70   0.89    2.85 0.380 -1.198
  2.02 1603.45  36.03  13.74   0.89    2.84 0.381 -1.203
  2.03 1604.45  36.00  13.78   0.90    2.83 0.383 -1.208
  2.04 1605.45  35.98  13.83   0.90    2.83 0.384 -1.213
  2.05 1606.45  35.95  13.87   0.91    2.82 0.386 -1.217
  2.06 1607.44  35.93  13.92   0.92    2.81 0.387 -1.222
  2.07 1608.43  35.91  13.96   0.92    2.80 0.389 -1.227
  2.08 1609.42  35.88  14.01   0.93    2.80 0.390 -1.232
  2.09 1610.41  35.86  14.05   0.93    2.79 0.392 -1.237
  2.10 1611.39  35.84  14.10   0.94    2.78 0.393 -1.241
  2.11 1612.37  35.81  14.14   0.94    2.78 0.395 -1.246
  2.12 1613.34  35.79  14.19   0.95    2.77 0.396 -1.251
  2.13 1614.31  35.77  14.24   0.95    2.76 0.398 -1.256
  2.14 1615.28  35.75  14.28   0.96    2.75 0.400 -1.260
  2.15 1616.25  35.72  14.33   0.97    2.75 0.401 -1.265
  2.16 1617.21  35.70  14.38   0.97    2.74 0.403 -1.269
  2.17 1618.17  35.68  14.42   0.98    2.73 0.404 -1.274
  2.18 1619.13  35.66  14.47   0.98    2.73 0.406 -1.279
  2.19 1620.08  35.64  14.52   0.99    2.72 0.407 -1.283
  2.20 1621.03  35.62  14.57   1.00    2.72 0.409 -1.288
  2.21 1621.98  35.59  14.62   1.00    2.71 0.411 -1.292
  2.22 1622.92  35.57  14.67   1.01    2.70 0.412 -1.297
  2.23 1623.86  35.55  14.72   1.02    2.70 0.414 -1.301
  2.24 1624.80  35.53  14.77   1.02    2.69 0.416 -1.306
  2.25 1625.74  35.51  14.82   1.03    2.68 0.417 -1.310
  2.26 1626.67  35.49  14.87   1.04    2.68 0.419 -1.315
  2.27 1627.60  35.47  14.92   1.04    2.67 0.421 -1.319
  2.28 1628.52  35.45  14.97   1.05    2.66 0.422 -1.323
  2.29 1629.44  35.43  15.02   1.06    2.66 0.424 -1.328
  2.30 1630.36  35.41  15.07   1.07    2.65 0.426 -1.332
  2.31 1631.28  35.39  15.12   1.07    2.65 0.427 -1.336
  2.32 1632.19  35.37  15.17   1.08    2.64 0.429 -1.341
  2.33 1633.10  35.35  15.22   1.09    2.63 0.431 -1.345
  2.34 1634.00  35.33  15.28   1.10    2.63 0.432 -1.349
  2.35 1634.91  35.31  15.33   1.10    2.62 0.434 -1.353
  2.36 1635.80  35.29  15.38   1.11    2.62 0.436 -1.358
  2.37 1636.70  35.27  15.44   1.12    2.61 0.438 -1.362
  2.38 1637.59  35.25  15.49   1.13    2.61 0.439 -1.366
  2.39 1638.48  35.23  15.55   1.14    2.60 0.441 -1.370
  2.40 1639.37  35.21  15.60   1.14    2.59 0.443 -1.374
  2.41 1640.25  35.19  15.65   1.15    2.59 0.445 -1.378
  2.42 1641.13  35.17  15.71   1.16    2.58 0.447 -1.383
  2.43 1642.00  35.15  15.76   1.17    2.58 0.448 -1.387
  2.44 1642.88  35.14  15.82   1.18    2.57 0.450 -1.391
  2.45 1643.75  35.12  15.88   1.19    2.57 0.452 -1.395
  2.46 1644.61  35.10  15.93   1.20    2.56 0.454 -1.399
  2.47 1645.47  35.08  15.99   1.21    2.56 0.456 -1.403
  2.48 1646.33  35.06  16.05   1.22    2.55 0.458 -1.407
  2.49 1647.19  35.05  16.10   1.23    2.55 0.460 -1.411
  2.50 1648.04  35.03  16.16   1.24    2.54 0.461 -1.415
  2.51 1648.89  35.01  16.22   1.25    2.54 0.463 -1.418
  2.52 1649.73  34.99  16.28   1.26    2.53 0.465 -1.422
  2.53 1650.58  34.97  16.34   1.27    2.53 0.467 -1.426
  2.54 1651.41  34.96  16.40   1.28    2.52 0.469 -1.430
  2.55 1652.25  34.94  16.46   1.29    2.52 0.471 -1.434
  2.56 1653.08  34.92  16.52   1.30    2.51 0.473 -1.438
  2.57 1653.91  34.91  16.58   1.31    2.51 0.475 -1.441
  2.58 1654.73  34.89  16.64   1.32    2.50 0.477 -1.445
  2.59 1655.55  34.87  16.70   1.33    2.50 0.479 -1.449
  2.60 1656.37  34.86  16.76   1.34    2.49 0.481 -1.453
  2.61 1657.19  34.84  16.82   1.35    2.49 0.483 -1.456
  2.62 1658.00  34.82  16.89   1.37    2.48 0.485 -1.460
  2.63 1658.80  34.81  16.95   1.38    2.48 0.487 -1.464
  2.64 1659.61  34.79  17.01   1.39    2.47 0.489 -1.467
  2.65 1660.41  34.78  17.07   1.40    2.47 0.491 -1.471
  2.66 1661.20  34.76  17.14   1.42    2.46 0.493 -1.475
  2.67 1662.00  34.74  17.20   1.43    2.46 0.495 -1.478
