#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00  10.79   0.20    4.00 0.300  0.477
  0.01 1351.14  36.17  10.81   0.20    4.03 0.299  0.468
  0.02 1352.29  36.33  10.84   0.20    4.06 0.298  0.459
  0.03 1353.44  36.49  10.86   0.20    4.09 0.298  0.451
  0.04 1354.60  36.66  10.88   0.21    4.12 0.297  0.442
  0.05 1355.76  36.82  10.90   0.21    4.15 0.296  0.433
  0.06 1356.93  36.97  10.92   0.21    4.18 0.295  0.425
  0.07 1358.11  37.12  10.94   0.21    4.20 0.295  0.416
  0.08 1359.29  37.27  10.97   0.22    4.23 0.294  0.407
  0.09 1360.48  37.41  10.99   0.22    4.25 0.294  0.398
  0.10 1361.68  37.55  11.01   0.22    4.28 0.293  0.390
  0.11 1362.88  37.69  11.03   0.22    4.30 0.293  0.381
  0.12 1364.08  37.82  11.05   0.23    4.32 0.292  0.372
  0.13 1365.29  37.94  11.08   0.23    4.34 0.292  0.363
  0.14 1366.50  38.06  11.10   0.23    4.36 0.292  0.354
  0.15 1367.72  38.18  11.12   0.23    4.38 0.291  0.345
  0.16 1368.94  38.29  11.14   0.24    4.40 0.291  0.336
  0.17 1370.17  38.40  11.17   0.24    4.42 0.291  0.327
  0.18 1371.40  38.50  11.19   0.24    4.43 0.291  0.318
  0.19 1372.63  38.59  11.21   0.24    4.45 0.290  0.309
  0.20 1373.87  38.70  11.23   0.25    4.46 0.290  0.300
  0.21 1375.11  38.81  11.26   0.25    4.48 0.290  0.291
  0.22 1376.35  38.92  11.28   0.25    4.50 0.290  0.282
  0.23 1377.60  39.02  11.30   0.25    4.51 0.290  0.273
  0.24 1378.85  39.12  11.33   0.26    4.53 0.290  0.264
  0.25 1380.10  39.21  11.35   0.26    4.54 0.289  0.255
  0.26 1381.36  39.31  11.37   0.26    4.55 0.289  0.246
  0.27 1382.62  39.40  11.40   0.27    4.57 0.289  0.237
  0.28 1383.89  39.49  11.42   0.27    4.58 0.289  0.228
  0.29 1385.15  39.57  11.45   0.27    4.59 0.289  0.219
  0.30 1386.42  39.64  11.47   0.27    4.60 0.289  0.210
  0.31 1387.69  39.71  11.49   0.28    4.61 0.289  0.201
  0.32 1388.97  39.77  11.52   0.28    4.61 0.290  0.192
  0.33 1390.24  39.83  11.54   0.28    4.62 0.290  0.183
  0.34 1391.52  39.89  11.57   0.28    4.62 0.290  0.174
  0.35 1392.80  39.93  11.59   0.29    4.62 0.290  0.165
  0.36 1394.07  39.98  11.62   0.29    4.63 0.291  0.156
  0.37 1395.35  40.01  11.64   0.29    4.63 0.291  0.147
  0.38 1396.63  40.04  11.66   0.30    4.62 0.291  0.138
  0.39 1397.91  40.07  11.69   0.30    4.62 0.292  0.129
  0.40 1399.19  40.09  11.71   0.30    4.62 0.292  0.120
  0.41 1400.47  40.10  11.74   0.30    4.61 0.293  0.112
  0.42 1401.75  40.12  11.77   0.31    4.61 0.293  0.103
  0.43 1403.03  40.15  11.79   0.31    4.61 0.294  0.094
  0.44 1404.31  40.18  11.82   0.31    4.60 0.294  0.085
  0.45 1405.58  40.20  11.84   0.32    4.60 0.295  0.076
  0.46 1406.86  40.22  11.87   0.32    4.60 0.295  0.067
  0.47 1408.14  40.24  11.89   0.32    4.59 0.296  0.059
  0.48 1409.42  40.26  11.92   0.32    4.59 0.296  0.050
  0.49 1410.70  40.28  11.95   0.33    4.59 0.297  0.041
  0.50 1411.97  40.29  11.97   0.33    4.58 0.297  0.032
  0.51 1413.25  40.30  12.00   0.33    4.57 0.298  0.024
  0.52 1414.52  40.31  12.02   0.34    4.57 0.298  0.015
  0.53 1415.80  40.32  12.05   0.34    4.56 0.299  0.006
  0.54 1417.07  40.33  12.08   0.34    4.56 0.299 -0.002
  0.55 1418.35  40.33  12.10   0.34    4.55 0.300 -0.011
  0.56 1419.62  40.33  12.13   0.35    4.54 0.301 -0.019
  0.57 1420.89  40.32  12.16   0.35    4.53 0.302 -0.028
  0.58 1422.16  40.31  12.19   0.35    4.52 0.302 -0.037
  0.59 1423.42  40.30  12.21   0.36    4.51 0.303 -0.045
  0.60 1424.69  40.28  12.24   0.36    4.50 0.304 -0.054
  0.61 1425.95  40.27  12.27   0.36    4.49 0.305 -0.062
  0.62 1427.21  40.25  12.30   0.36    4.47 0.306 -0.070
  0.63 1428.47  40.22  12.32   0.37    4.46 0.306 -0.079
  0.64 1429.73  40.20  12.35   0.37    4.45 0.307 -0.087
  0.65 1430.98  40.17  12.38   0.37    4.43 0.308 -0.095
  0.66 1432.24  40.14  12.41   0.38    4.42 0.309 -0.104
  0.67 1433.48  40.10  12.44   0.38    4.40 0.310 -0.112
  0.68 1434.73  40.08  12.46   0.38    4.39 0.311 -0.120
  0.69 1435.97  40.06  12.49   0.38    4.38 0.312 -0.128
  0.70 1437.22  40.04  12.52   0.39    4.37 0.313 -0.136
  0.71 1438.46  40.02  12.55   0.39    4.35 0.314 -0.145
  0.72 1439.69  39.99  12.58   0.39    4.34 0.315 -0.153
  0.73 1440.93  39.97  12.61   0.40    4.33 0.315 -0.161
  0.74 1442.16  39.95  12.64   0.40    4.32 0.316 -0.169
  0.75 1443.39  39.93  12.67   0.40    4.30 0.317 -0.177
  0.76 1444.62  39.90  12.70   0.41    4.29 0.318 -0.185
  0.77 1445.84  39.88  12.73   0.41    4.28 0.319 -0.193
  0.78 1447.07  39.86  12.76   0.41    4.27 0.320 -0.201
  0.79 1448.29  39.83  12.79   0.41    4.25 0.321 -0.208
  0.80 1449.50  39.81  12.82   0.42    4.24 0.322 -0.216
  0.81 1450.72  39.78  12.85   0.42    4.23 0.323 -0.224
  0.82 1451.93  39.76  12.88   0.42    4.22 0.324 -0.232
  0.83 1453.14  39.73  12.91   0.43    4.21 0.325 -0.240
  0.84 1454.35  39.71  12.94   0.43    4.19 0.326 -0.247
  0.85 1455.56  39.68  12.97   0.43    4.18 0.327 -0.255
  0.86 1456.76  39.66  13.00   0.43    4.17 0.328 -0.263
  0.87 1457.96  39.63  13.03   0.44    4.16 0.329 -0.270
  0.88 1459.16  39.61  13.06   0.44    4.14 0.330 -0.278
  0.89 1460.35  39.58  13.09   0.44    4.13 0.331 -0.286
  0.90 1461.55  39.56  13.13   0.45    4.12 0.332 -0.293
  0.91 1462.74  39.53  13.16   0.45    4.11 0.333 -0.301
  0.92 1463.93  39.51  13.19   0.45    4.10 0.334 -0.308
  0.93 1465.11  39.48  13.22   0.45    4.09 0.335 -0.316
  0.94 1466.29  39.46  13.25   0.46    4.07 0.336 -0.323
  0.95 1467.47  39.43  13.29   0.46    4.06 0.337 -0.330
  0.96 1468.65  39.41  13.32   0.46    4.05 0.338 -0.338
  0.97 1469.83  39.38  13.35   0.47    4.04 0.339 -0.345
  0.98 1471.00  39.35  13.38   0.47    4.03 0.340 -0.352
  0.99 1472.17  39.33  13.42   0.47    4.01 0.341 -0.360
  1.00 1473.33  39.30  13.45   0.48    4.00 0.342 -0.367
  1.01 1474.50  39.27  13.48   0.48    3.99 0.343 -0.374
  1.02 1475.66  39.24  13.52   0.48    3.98 0.344 -0.381
  1.03 1476.82  39.22  13.55   0.48    3.97 0.346 -0.389
  1.04 1477.97  39.19  13.58   0.49    3.95 0.347 -0.396
  1.05 1479.13  39.16  13.62   0.49    3.94 0.348 -0.403
  1.06 1480.28  39.13  13.65   0.49    3.93 0.349 -0.410
  1.07 1481.42  39.10  13.69   0.50    3.92 0.350 -0.417
  1.08 1482.57  39.08  13.72   0.50    3.91 0.351 -0.424
  1.09 1483.71  39.05  13.76   0.50    3.90 0.352 -0.431
  1.10 1484.85  39.02  13.79   0.50    3.88 0.353 -0.438
  1.11 1485.98  38.99  13.83   0.51    3.87 0.355 -0.445
  1.12 1487.12  38.96  13.86   0.51    3.86 0.356 -0.452
  1.13 1488.25  38.94  13.90   0.51    3.85 0.357 -0.459
  1.14 1489.38  38.91  13.93   0.52    3.84 0.358 -0.465
  1.15 1490.50  38.88  13.97   0.52    3.83 0.359 -0.472
  1.16 1491.62  38.85  14.00   0.52    3.82 0.360 -0.479
  1.17 1492.74  38.82  14.04   0.52    3.81 0.362 -0.486
  1.18 1493.86  38.80  14.08   0.53    3.79 0.363 -0.492
  1.19 1494.97  38.77  14.11   0.53    3.78 0.364 -0.499
