#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00   5.40   0.20    4.00 0.150  0.477
  0.01 1351.38  36.20   5.41   0.20    4.04 0.149  0.466
  0.02 1352.78  36.40   5.42   0.20    4.07 0.149  0.456
  0.03 1354.18  36.60   5.43   0.20    4.11 0.148  0.445
  0.04 1355.59  36.79   5.44   0.21    4.14 0.148  0.435
  0.05 1357.00  36.98   5.45   0.21    4.18 0.147  0.424
  0.06 1358.43  37.16   5.46   0.21    4.21 0.147  0.414
  0.07 1359.86  37.34   5.47   0.21    4.24 0.147  0.403
  0.08 1361.30  37.51   5.48   0.22    4.27 0.146  0.392
  0.09 1362.75  37.67   5.49   0.22    4.30 0.146  0.382
  0.10 1364.20  37.83   5.50   0.22    4.33 0.146  0.371
  0.11 1365.67  37.98   5.52   0.22    4.35 0.145  0.360
  0.12 1367.13  38.12   5.53   0.23    4.37 0.145  0.349
  0.13 1368.60  38.26   5.54   0.23    4.40 0.145  0.339
  0.14 1370.08  38.39   5.55   0.23    4.42 0.145  0.328
  0.15 1371.57  38.51   5.56   0.24    4.43 0.144  0.317
  0.16 1373.05  38.63   5.57   0.24    4.45 0.144  0.306
  0.17 1374.55  38.76   5.58   0.24    4.47 0.144  0.295
  0.18 1376.04  38.89   5.59   0.24    4.49 0.144  0.285
  0.19 1377.55  39.01   5.61   0.25    4.51 0.144  0.274
  0.20 1379.06  39.13   5.62   0.25    4.53 0.144  0.263
  0.21 1380.57  39.25   5.63   0.25    4.55 0.143  0.252
  0.22 1382.09  39.36   5.64   0.26    4.56 0.143  0.241
  0.23 1383.61  39.47   5.65   0.26    4.58 0.143  0.230
  0.24 1385.14  39.57   5.66   0.26    4.59 0.143  0.219
  0.25 1386.67  39.66   5.68   0.26    4.60 0.143  0.208
  0.26 1388.20  39.74   5.69   0.27    4.61 0.143  0.198
  0.27 1389.74  39.81   5.70   0.27    4.62 0.143  0.187
  0.28 1391.28  39.88   5.71   0.27    4.62 0.143  0.176
  0.29 1392.82  39.93   5.72   0.28    4.62 0.143  0.165
  0.30 1394.36  39.98   5.73   0.28    4.63 0.143  0.154
  0.31 1395.91  40.03   5.75   0.28    4.62 0.144  0.143
  0.32 1397.45  40.06   5.76   0.29    4.62 0.144  0.133
  0.33 1399.00  40.09   5.77   0.29    4.62 0.144  0.122
  0.34 1400.55  40.11   5.78   0.29    4.61 0.144  0.111
  0.35 1402.09  40.13   5.80   0.29    4.61 0.144  0.100
  0.36 1403.64  40.16   5.81   0.30    4.61 0.145  0.090
  0.37 1405.19  40.19   5.82   0.30    4.60 0.145  0.079
  0.38 1406.74  40.22   5.83   0.30    4.60 0.145  0.068
  0.39 1408.29  40.24   5.84   0.31    4.59 0.145  0.058
  0.40 1409.84  40.27   5.86   0.31    4.59 0.145  0.047
  0.41 1411.39  40.28   5.87   0.31    4.58 0.146  0.036
  0.42 1412.94  40.30   5.88   0.32    4.58 0.146  0.026
  0.43 1414.50  40.31   5.90   0.32    4.57 0.146  0.015
  0.44 1416.05  40.32   5.91   0.32    4.56 0.147  0.005
  0.45 1417.60  40.33   5.92   0.32    4.55 0.147 -0.006
  0.46 1419.15  40.33   5.93   0.33    4.54 0.147 -0.016
  0.47 1420.70  40.32   5.95   0.33    4.53 0.147 -0.027
  0.48 1422.25  40.31   5.96   0.33    4.52 0.148 -0.037
  0.49 1423.80  40.30   5.97   0.34    4.51 0.148 -0.048
  0.50 1425.34  40.28   5.99   0.34    4.49 0.149 -0.058
  0.51 1426.89  40.25   6.00   0.34    4.48 0.149 -0.068
  0.52 1428.43  40.22   6.01   0.35    4.46 0.149 -0.078
  0.53 1429.97  40.19   6.03   0.35    4.44 0.150 -0.089
  0.54 1431.51  40.16   6.04   0.35    4.43 0.150 -0.099
  0.55 1433.05  40.12   6.05   0.36    4.41 0.151 -0.109
  0.56 1434.58  40.09   6.07   0.36    4.39 0.151 -0.119
  0.57 1436.12  40.06   6.08   0.36    4.38 0.152 -0.129
  0.58 1437.65  40.03   6.09   0.37    4.36 0.152 -0.139
  0.59 1439.18  40.00   6.11   0.37    4.35 0.153 -0.149
  0.60 1440.70  39.98   6.12   0.37    4.33 0.153 -0.159
  0.61 1442.23  39.95   6.13   0.38    4.32 0.154 -0.169
  0.62 1443.75  39.92   6.15   0.38    4.30 0.154 -0.179
  0.63 1445.27  39.89   6.16   0.38    4.28 0.154 -0.189
  0.64 1446.79  39.86   6.18   0.39    4.27 0.155 -0.199
  0.65 1448.31  39.83   6.19   0.39    4.25 0.155 -0.209
  0.66 1449.83  39.80   6.20   0.39    4.24 0.156 -0.218
  0.67 1451.34  39.77   6.22   0.39    4.22 0.156 -0.228
  0.68 1452.85  39.74   6.23   0.40    4.21 0.157 -0.238
  0.69 1454.36  39.71   6.25   0.40    4.19 0.157 -0.247
  0.70 1455.87  39.68   6.26   0.40    4.18 0.158 -0.257
  0.71 1457.38  39.65   6.28   0.41    4.16 0.158 -0.267
  0.72 1458.88  39.62   6.29   0.41    4.15 0.159 -0.276
  0.73 1460.38  39.58   6.30   0.41    4.13 0.159 -0.286
  0.74 1461.88  39.55   6.32   0.42    4.12 0.160 -0.295
  0.75 1463.38  39.52   6.33   0.42    4.10 0.160 -0.305
  0.76 1464.87  39.49   6.35   0.42    4.09 0.161 -0.314
  0.77 1466.36  39.46   6.36   0.43    4.07 0.161 -0.323
  0.78 1467.86  39.42   6.38   0.43    4.06 0.162 -0.333
  0.79 1469.34  39.39   6.39   0.43    4.04 0.162 -0.342
  0.80 1470.83  39.36   6.41   0.44    4.03 0.163 -0.351
  0.81 1472.32  39.32   6.42   0.44    4.01 0.163 -0.361
  0.82 1473.80  39.29   6.44   0.44    4.00 0.164 -0.370
  0.83 1475.28  39.25   6.45   0.45    3.98 0.164 -0.379
  0.84 1476.75  39.22   6.47   0.45    3.97 0.165 -0.388
  0.85 1478.23  39.18   6.48   0.45    3.95 0.165 -0.397
  0.86 1479.70  39.15   6.50   0.46    3.94 0.166 -0.406
  0.87 1481.17  39.11   6.52   0.46    3.92 0.167 -0.415
  0.88 1482.64  39.07   6.53   0.46    3.91 0.167 -0.424
  0.89 1484.11  39.04   6.55   0.47    3.89 0.168 -0.433
  0.90 1485.57  39.00   6.56   0.47    3.88 0.168 -0.442
  0.91 1487.03  38.97   6.58   0.47    3.86 0.169 -0.451
  0.92 1488.49  38.93   6.59   0.48    3.85 0.169 -0.460
  0.93 1489.95  38.89   6.61   0.48    3.83 0.170 -0.469
  0.94 1491.40  38.86   6.63   0.48    3.82 0.171 -0.478
  0.95 1492.85  38.82   6.64   0.49    3.80 0.171 -0.486
  0.96 1494.30  38.79   6.66   0.49    3.79 0.172 -0.495
  0.97 1495.75  38.75   6.68   0.49    3.78 0.172 -0.504
  0.98 1497.20  38.71   6.69   0.50    3.76 0.173 -0.512
