#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00  13.67   0.21    4.00 0.385  0.282
  0.01 1351.00  36.15  13.70   0.21    4.03 0.385  0.275
  0.02 1352.01  36.29  13.73   0.21    4.05 0.384  0.268
  0.03 1353.02  36.44  13.75   0.21    4.08 0.383  0.261
  0.04 1354.03  36.58  13.78   0.22    4.10 0.383  0.254
  0.05 1355.05  36.72  13.81   0.22    4.13 0.382  0.247
  0.06 1356.08  36.86  13.83   0.22    4.16 0.381  0.239
  0.07 1357.11  36.99  13.86   0.22    4.18 0.381  0.232
  0.08 1358.14  37.13  13.89   0.23    4.20 0.380  0.225
  0.09 1359.18  37.26  13.92   0.23    4.23 0.380  0.218
  0.10 1360.23  37.38  13.95   0.23    4.25 0.379  0.211
  0.11 1361.27  37.51  13.97   0.23    4.27 0.379  0.203
  0.12 1362.33  37.63  14.00   0.24    4.29 0.378  0.196
  0.13 1363.38  37.74  14.03   0.24    4.31 0.378  0.189
  0.14 1364.44  37.86  14.06   0.24    4.33 0.378  0.182
  0.15 1365.51  37.97  14.09   0.24    4.35 0.377  0.174
  0.16 1366.58  38.07  14.11   0.25    4.37 0.377  0.167
  0.17 1367.65  38.17  14.14   0.25    4.38 0.377  0.160
  0.18 1368.72  38.27  14.17   0.25    4.40 0.377  0.152
  0.19 1369.80  38.37  14.20   0.25    4.41 0.377  0.145
  0.20 1370.88  38.45  14.23   0.26    4.43 0.377  0.138
  0.21 1371.96  38.54  14.26   0.26    4.44 0.377  0.130
  0.22 1373.04  38.63  14.29   0.26    4.45 0.377  0.123
  0.23 1374.13  38.73  14.32   0.26    4.47 0.377  0.116
  0.24 1375.22  38.82  14.35   0.27    4.48 0.376  0.108
  0.25 1376.31  38.91  14.38   0.27    4.50 0.376  0.101
  0.26 1377.41  39.00  14.41   0.27    4.51 0.376  0.094
  0.27 1378.50  39.09  14.44   0.28    4.52 0.376  0.086
  0.28 1379.60  39.18  14.47   0.28    4.54 0.376  0.079
  0.29 1380.71  39.26  14.50   0.28    4.55 0.376  0.071
  0.30 1381.81  39.34  14.53   0.28    4.56 0.376  0.064
  0.31 1382.92  39.42  14.56   0.29    4.57 0.377  0.057
  0.32 1384.03  39.50  14.59   0.29    4.58 0.377  0.049
  0.33 1385.14  39.57  14.62   0.29    4.59 0.377  0.042
  0.34 1386.25  39.63  14.65   0.29    4.60 0.377  0.034
  0.35 1387.36  39.69  14.68   0.30    4.60 0.377  0.027
  0.36 1388.48  39.75  14.71   0.30    4.61 0.378  0.020
  0.37 1389.59  39.80  14.74   0.30    4.62 0.378  0.012
  0.38 1390.71  39.85  14.78   0.31    4.62 0.378  0.005
  0.39 1391.83  39.90  14.81   0.31    4.62 0.379 -0.002
  0.40 1392.95  39.94  14.84   0.31    4.62 0.379 -0.010
  0.41 1394.06  39.97  14.87   0.31    4.63 0.380 -0.017
  0.42 1395.18  40.01  14.90   0.32    4.63 0.380 -0.024
  0.43 1396.30  40.04  14.93   0.32    4.62 0.381 -0.032
  0.44 1397.41  40.06  14.97   0.32    4.62 0.382 -0.039
  0.45 1398.53  40.08  15.00   0.33    4.62 0.382 -0.046
  0.46 1399.65  40.10  15.03   0.33    4.62 0.383 -0.054
  0.47 1400.76  40.11  15.06   0.33    4.61 0.384 -0.061
  0.48 1401.88  40.12  15.10   0.33    4.61 0.385 -0.068
  0.49 1402.99  40.15  15.13   0.34    4.61 0.385 -0.075
  0.50 1404.10  40.17  15.16   0.34    4.60 0.386 -0.082
  0.51 1405.21  40.19  15.20   0.34    4.60 0.387 -0.090
  0.52 1406.32  40.21  15.23   0.35    4.60 0.387 -0.097
  0.53 1407.43  40.23  15.26   0.35    4.60 0.388 -0.104
  0.54 1408.54  40.25  15.30   0.35    4.59 0.389 -0.111
  0.55 1409.65  40.26  15.33   0.35    4.59 0.390 -0.118
  0.56 1410.76  40.28  15.37   0.36    4.58 0.390 -0.125
  0.57 1411.86  40.29  15.40   0.36    4.58 0.391 -0.132
  0.58 1412.97  40.30  15.43   0.36    4.58 0.392 -0.139
  0.59 1414.07  40.31  15.47   0.37    4.57 0.393 -0.146
  0.60 1415.18  40.32  15.50   0.37    4.57 0.394 -0.153
  0.61 1416.28  40.32  15.54   0.37    4.56 0.395 -0.160
  0.62 1417.38  40.33  15.57   0.37    4.55 0.395 -0.167
