#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00  13.67   0.21    4.00 0.380  0.282
  0.01 1351.01  36.15  13.70   0.21    4.03 0.379  0.275
  0.02 1352.02  36.29  13.73   0.21    4.05 0.378  0.268
  0.03 1353.04  36.44  13.75   0.21    4.08 0.377  0.261
  0.04 1354.07  36.58  13.78   0.22    4.11 0.377  0.253
  0.05 1355.10  36.73  13.81   0.22    4.13 0.376  0.246
  0.06 1356.14  36.87  13.83   0.22    4.16 0.375  0.239
  0.07 1357.18  37.00  13.86   0.22    4.18 0.375  0.232
  0.08 1358.22  37.14  13.89   0.23    4.21 0.374  0.225
  0.09 1359.27  37.27  13.92   0.23    4.23 0.373  0.217
  0.10 1360.33  37.40  13.95   0.23    4.25 0.373  0.210
  0.11 1361.39  37.52  13.97   0.23    4.27 0.372  0.203
  0.12 1362.45  37.64  14.00   0.24    4.29 0.372  0.195
  0.13 1363.52  37.76  14.03   0.24    4.31 0.372  0.188
  0.14 1364.59  37.87  14.06   0.24    4.33 0.371  0.181
  0.15 1365.67  37.98  14.09   0.24    4.35 0.371  0.173
  0.16 1366.74  38.09  14.11   0.25    4.37 0.371  0.166
  0.17 1367.83  38.19  14.14   0.25    4.38 0.370  0.158
  0.18 1368.91  38.29  14.17   0.25    4.40 0.370  0.151
  0.19 1370.00  38.38  14.20   0.25    4.42 0.370  0.144
  0.20 1371.09  38.47  14.23   0.26    4.43 0.370  0.136
  0.21 1372.19  38.56  14.26   0.26    4.44 0.370  0.129
  0.22 1373.28  38.65  14.29   0.26    4.46 0.370  0.121
  0.23 1374.38  38.75  14.32   0.26    4.47 0.370  0.114
  0.24 1375.49  38.84  14.35   0.27    4.49 0.369  0.106
  0.25 1376.59  38.94  14.38   0.27    4.50 0.369  0.099
  0.26 1377.70  39.03  14.41   0.27    4.51 0.369  0.092
  0.27 1378.81  39.11  14.44   0.28    4.53 0.369  0.084
  0.28 1379.93  39.20  14.47   0.28    4.54 0.369  0.077
  0.29 1381.04  39.28  14.50   0.28    4.55 0.369  0.069
