#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00   8.28   0.21    4.00 0.236  0.282
  0.01 1351.24  36.18   8.29   0.21    4.03 0.235  0.273
  0.02 1352.50  36.36   8.31   0.21    4.07 0.234  0.264
  0.03 1353.75  36.54   8.32   0.21    4.10 0.234  0.256
  0.04 1355.02  36.71   8.34   0.22    4.13 0.233  0.247
  0.05 1356.29  36.89   8.36   0.22    4.16 0.232  0.238
  0.06 1357.57  37.06   8.37   0.22    4.19 0.232  0.229
  0.07 1358.86  37.22   8.39   0.22    4.22 0.231  0.220
  0.08 1360.15  37.37   8.41   0.23    4.25 0.231  0.211
  0.09 1361.45  37.53   8.42   0.23    4.27 0.231  0.202
  0.10 1362.76  37.67   8.44   0.23    4.30 0.230  0.193
  0.11 1364.07  37.82   8.46   0.24    4.32 0.230  0.184
  0.12 1365.38  37.95   8.47   0.24    4.35 0.230  0.175
  0.13 1366.70  38.08   8.49   0.24    4.37 0.229  0.166
  0.14 1368.03  38.21   8.51   0.24    4.39 0.229  0.157
  0.15 1369.36  38.33   8.53   0.25    4.41 0.229  0.148
  0.16 1370.69  38.44   8.54   0.25    4.42 0.229  0.139
  0.17 1372.03  38.55   8.56   0.25    4.44 0.229  0.130
  0.18 1373.37  38.66   8.58   0.25    4.46 0.228  0.121
  0.19 1374.72  38.78   8.60   0.26    4.48 0.228  0.112
  0.20 1376.07  38.89   8.61   0.26    4.49 0.228  0.103
  0.21 1377.43  39.00   8.63   0.26    4.51 0.228  0.093
  0.22 1378.79  39.11   8.65   0.27    4.53 0.228  0.084
  0.23 1380.15  39.22   8.67   0.27    4.54 0.228  0.075
  0.24 1381.52  39.32   8.68   0.27    4.56 0.228  0.066
  0.25 1382.89  39.42   8.70   0.27    4.57 0.228  0.057
  0.26 1384.26  39.51   8.72   0.28    4.58 0.228  0.048
  0.27 1385.64  39.60   8.74   0.28    4.59 0.228  0.038
  0.28 1387.02  39.68   8.76   0.28    4.60 0.228  0.029
  0.29 1388.40  39.75   8.77   0.29    4.61 0.228  0.020
  0.30 1389.79  39.81   8.79   0.29    4.62 0.228  0.011
  0.31 1391.17  39.87   8.81   0.29    4.62 0.228  0.002
  0.32 1392.56  39.92   8.83   0.30    4.62 0.229 -0.007
  0.33 1393.95  39.97   8.85   0.30    4.63 0.229 -0.016
  0.34 1395.34  40.01   8.87   0.30    4.63 0.229 -0.025
  0.35 1396.73  40.05   8.89   0.30    4.62 0.230 -0.035
  0.36 1398.12  40.07   8.91   0.31    4.62 0.230 -0.044
  0.37 1399.51  40.09   8.92   0.31    4.62 0.230 -0.053
  0.38 1400.90  40.11   8.94   0.31    4.61 0.231 -0.062
  0.39 1402.29  40.13   8.96   0.32    4.61 0.231 -0.071
  0.40 1403.69  40.16   8.98   0.32    4.61 0.232 -0.080
  0.41 1405.08  40.19   9.00   0.32    4.60 0.232 -0.089
  0.42 1406.47  40.21   9.02   0.33    4.60 0.232 -0.098
  0.43 1407.86  40.24   9.04   0.33    4.59 0.233 -0.107
  0.44 1409.25  40.26   9.06   0.33    4.59 0.233 -0.116
  0.45 1410.64  40.28   9.08   0.34    4.59 0.234 -0.125
  0.46 1412.03  40.29   9.10   0.34    4.58 0.234 -0.133
  0.47 1413.43  40.30   9.12   0.34    4.57 0.235 -0.142
  0.48 1414.82  40.31   9.14   0.34    4.57 0.235 -0.151
  0.49 1416.21  40.32   9.16   0.35    4.56 0.236 -0.160
  0.50 1417.59  40.33   9.18   0.35    4.55 0.236 -0.169
  0.51 1418.98  40.33   9.20   0.35    4.54 0.237 -0.178
  0.52 1420.37  40.32   9.22   0.36    4.53 0.237 -0.186
  0.53 1421.76  40.32   9.24   0.36    4.52 0.238 -0.195
  0.54 1423.14  40.30   9.26   0.36    4.51 0.239 -0.204
  0.55 1424.52  40.29   9.28   0.37    4.50 0.239 -0.212
  0.56 1425.90  40.27   9.30   0.37    4.49 0.240 -0.221
  0.57 1427.28  40.24   9.32   0.37    4.47 0.241 -0.230
  0.58 1428.66  40.22   9.34   0.38    4.46 0.242 -0.238
  0.59 1430.03  40.19   9.36   0.38    4.44 0.242 -0.247
  0.60 1431.40  40.16   9.38   0.38    4.43 0.243 -0.255
  0.61 1432.77  40.12   9.41   0.39    4.41 0.244 -0.264
  0.62 1434.14  40.09   9.43   0.39    4.40 0.245 -0.272
  0.63 1435.50  40.07   9.45   0.39    4.38 0.246 -0.281
  0.64 1436.86  40.05   9.47   0.39    4.37 0.246 -0.289
  0.65 1438.22  40.02   9.49   0.40    4.36 0.247 -0.297
  0.66 1439.58  40.00   9.51   0.40    4.34 0.248 -0.306
  0.67 1440.93  39.97   9.53   0.40    4.33 0.249 -0.314
  0.68 1442.29  39.95   9.56   0.41    4.31 0.249 -0.322
  0.69 1443.64  39.92   9.58   0.41    4.30 0.250 -0.331
  0.70 1444.99  39.89   9.60   0.41    4.29 0.251 -0.339
  0.71 1446.33  39.87   9.62   0.42    4.27 0.252 -0.347
  0.72 1447.68  39.84   9.64   0.42    4.26 0.253 -0.355
  0.73 1449.02  39.82   9.67   0.42    4.25 0.253 -0.363
  0.74 1450.36  39.79   9.69   0.43    4.23 0.254 -0.371
  0.75 1451.69  39.76   9.71   0.43    4.22 0.255 -0.379
  0.76 1453.03  39.74   9.73   0.43    4.21 0.256 -0.387
  0.77 1454.36  39.71   9.76   0.44    4.19 0.257 -0.395
