#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00   2.88   0.21    4.00 0.080  0.282
  0.01 1351.50  36.22   2.88   0.21    4.04 0.080  0.271
  0.02 1353.01  36.43   2.89   0.21    4.08 0.079  0.261
  0.03 1354.52  36.65   2.90   0.21    4.12 0.079  0.250
  0.04 1356.05  36.85   2.90   0.22    4.15 0.079  0.240
  0.05 1357.58  37.06   2.91   0.22    4.19 0.078  0.229
  0.06 1359.13  37.25   2.91   0.22    4.23 0.078  0.218
  0.07 1360.68  37.44   2.92   0.23    4.26 0.078  0.208
  0.08 1362.24  37.62   2.92   0.23    4.29 0.078  0.197
  0.09 1363.81  37.79   2.93   0.23    4.32 0.078  0.186
  0.10 1365.38  37.95   2.94   0.23    4.35 0.077  0.175
  0.11 1366.96  38.11   2.94   0.24    4.37 0.077  0.164
  0.12 1368.55  38.26   2.95   0.24    4.40 0.077  0.153
  0.13 1370.15  38.39   2.95   0.24    4.42 0.077  0.143
  0.14 1371.75  38.52   2.96   0.25    4.44 0.077  0.132
  0.15 1373.36  38.66   2.97   0.25    4.46 0.077  0.121
  0.16 1374.97  38.80   2.97   0.25    4.48 0.077  0.110
  0.17 1376.59  38.93   2.98   0.25    4.50 0.076  0.099
  0.18 1378.21  39.07   2.98   0.26    4.52 0.076  0.088
  0.19 1379.84  39.19   2.99   0.26    4.54 0.076  0.077
  0.20 1381.47  39.32   3.00   0.26    4.56 0.076  0.066
  0.21 1383.11  39.43   3.00   0.27    4.57 0.076  0.055
  0.22 1384.76  39.55   3.01   0.27    4.59 0.076  0.044
  0.23 1386.41  39.64   3.01   0.27    4.60 0.076  0.033
  0.24 1388.06  39.73   3.02   0.28    4.61 0.076  0.022
  0.25 1389.72  39.81   3.03   0.28    4.62 0.076  0.011
  0.26 1391.38  39.88   3.03   0.28    4.62 0.076  0.001
  0.27 1393.04  39.94   3.04   0.29    4.62 0.076 -0.010
  0.28 1394.70  39.99   3.05   0.29    4.63 0.076 -0.021
  0.29 1396.37  40.04   3.05   0.29    4.62 0.076 -0.032
  0.30 1398.04  40.07   3.06   0.30    4.62 0.076 -0.043
  0.31 1399.71  40.10   3.06   0.30    4.62 0.076 -0.054
  0.32 1401.38  40.11   3.07   0.30    4.61 0.077 -0.065
  0.33 1403.05  40.15   3.08   0.31    4.61 0.077 -0.076
  0.34 1404.72  40.18   3.08   0.31    4.60 0.077 -0.086
  0.35 1406.39  40.21   3.09   0.31    4.60 0.077 -0.097
  0.36 1408.07  40.24   3.10   0.32    4.59 0.077 -0.108
  0.37 1409.74  40.26   3.10   0.32    4.59 0.077 -0.119
  0.38 1411.42  40.28   3.11   0.32    4.58 0.077 -0.130
  0.39 1413.09  40.30   3.12   0.32    4.58 0.077 -0.140
  0.40 1414.77  40.31   3.12   0.33    4.57 0.077 -0.151
  0.41 1416.45  40.32   3.13   0.33    4.56 0.078 -0.162
  0.42 1418.12  40.33   3.14   0.34    4.55 0.078 -0.172
  0.43 1419.80  40.33   3.14   0.34    4.54 0.078 -0.183
  0.44 1421.48  40.32   3.15   0.34    4.53 0.078 -0.193
  0.45 1423.15  40.30   3.16   0.35    4.51 0.078 -0.204
  0.46 1424.83  40.28   3.16   0.35    4.50 0.079 -0.214
  0.47 1426.50  40.26   3.17   0.35    4.48 0.079 -0.225
  0.48 1428.17  40.23   3.18   0.36    4.46 0.079 -0.235
  0.49 1429.84  40.19   3.19   0.36    4.45 0.079 -0.246
  0.50 1431.51  40.16   3.19   0.36    4.43 0.079 -0.256
  0.51 1433.17  40.11   3.20   0.37    4.41 0.080 -0.266
  0.52 1434.83  40.08   3.21   0.37    4.39 0.080 -0.277
  0.53 1436.50  40.05   3.21   0.37    4.37 0.080 -0.287
  0.54 1438.16  40.02   3.22   0.38    4.36 0.080 -0.297
  0.55 1439.81  39.99   3.23   0.38    4.34 0.081 -0.307
  0.56 1441.47  39.96   3.24   0.38    4.32 0.081 -0.317
  0.57 1443.13  39.93   3.24   0.39    4.31 0.081 -0.327
  0.58 1444.78  39.90   3.25   0.39    4.29 0.081 -0.338
  0.59 1446.43  39.87   3.26   0.39    4.27 0.082 -0.348
  0.60 1448.08  39.84   3.26   0.40    4.26 0.082 -0.358
  0.61 1449.73  39.80   3.27   0.40    4.24 0.082 -0.368
  0.62 1451.37  39.77   3.28   0.40    4.22 0.082 -0.378
  0.63 1453.02  39.74   3.29   0.41    4.21 0.083 -0.387
  0.64 1454.66  39.70   3.29   0.41    4.19 0.083 -0.397
  0.65 1456.30  39.67   3.30   0.41    4.17 0.083 -0.407
  0.66 1457.94  39.63   3.31   0.42    4.16 0.083 -0.417
  0.67 1459.58  39.60   3.32   0.42    4.14 0.084 -0.427
  0.68 1461.21  39.57   3.32   0.43    4.12 0.084 -0.436
  0.69 1462.84  39.53   3.33   0.43    4.11 0.084 -0.446
  0.70 1464.48  39.50   3.34   0.43    4.09 0.085 -0.456
  0.71 1466.10  39.46   3.35   0.44    4.08 0.085 -0.465
  0.72 1467.73  39.43   3.35   0.44    4.06 0.085 -0.475
  0.73 1469.36  39.39   3.36   0.44    4.04 0.085 -0.484
  0.74 1470.98  39.35   3.37   0.45    4.03 0.086 -0.494
  0.75 1472.60  39.32   3.38   0.45    4.01 0.086 -0.503
  0.76 1474.22  39.28   3.39   0.45    3.99 0.086 -0.513
  0.77 1475.84  39.24   3.39   0.46    3.98 0.086 -0.522
  0.78 1477.45  39.20   3.40   0.46    3.96 0.087 -0.532
  0.79 1479.07  39.16   3.41   0.46    3.94 0.087 -0.541
  0.80 1480.68  39.12   3.42   0.47    3.93 0.087 -0.550
  0.81 1482.28  39.08   3.43   0.47    3.91 0.088 -0.560
  0.82 1483.89  39.04   3.43   0.48    3.89 0.088 -0.569
  0.83 1485.50  39.00   3.44   0.48    3.88 0.088 -0.578
  0.84 1487.10  38.96   3.45   0.48    3.86 0.089 -0.587
  0.85 1488.70  38.92   3.46   0.49    3.85 0.089 -0.597
  0.86 1490.30  38.89   3.47   0.49    3.83 0.089 -0.606
  0.87 1491.89  38.85   3.48   0.49    3.81 0.089 -0.615
  0.88 1493.48  38.81   3.48   0.50    3.80 0.090 -0.624
  0.89 1495.08  38.77   3.49   0.50    3.78 0.090 -0.633
  0.90 1496.67  38.73   3.50   0.50    3.77 0.090 -0.642
  0.91 1498.25  38.69   3.51   0.51    3.75 0.091 -0.651
  0.92 1499.84  38.65   3.52   0.51    3.74 0.091 -0.660
  0.93 1501.42  38.61   3.53   0.52    3.72 0.091 -0.669
  0.94 1503.00  38.57   3.53   0.52    3.70 0.092 -0.677
  0.95 1504.58  38.53   3.54   0.52    3.69 0.092 -0.686
  0.96 1506.15  38.49   3.55   0.53    3.67 0.092 -0.695
  0.97 1507.73  38.45   3.56   0.53    3.66 0.093 -0.704
  0.98 1509.30  38.41   3.57   0.53    3.64 0.093 -0.713
  0.99 1510.87  38.37   3.58   0.54    3.63 0.093 -0.721
  1.00 1512.44  38.33   3.59   0.54    3.61 0.094 -0.730
  1.01 1514.00  38.29   3.60   0.55    3.60 0.094 -0.739
  1.02 1515.57  38.25   3.60   0.55    3.58 0.094 -0.747
  1.03 1517.13  38.21   3.61   0.55    3.57 0.095 -0.756
  1.04 1518.68  38.17   3.62   0.56    3.55 0.095 -0.764
  1.05 1520.24  38.13   3.63   0.56    3.54 0.095 -0.773
  1.06 1521.79  38.08   3.64   0.56    3.52 0.096 -0.781
  1.07 1523.35  38.04   3.65   0.57    3.51 0.096 -0.790
  1.08 1524.90  38.00   3.66   0.57    3.49 0.096 -0.798
  1.09 1526.44  37.96   3.67   0.57    3.48 0.097 -0.807
  1.10 1527.99  37.92   3.68   0.58    3.46 0.097 -0.815
  1.11 1529.53  37.88   3.69   0.58    3.45 0.097 -0.823
  1.12 1531.07  37.84   3.70   0.59    3.44 0.098 -0.832
  1.13 1532.61  37.80   3.71   0.59    3.42 0.098 -0.840
  1.14 1534.14  37.76   3.72   0.59    3.41 0.098 -0.848
  1.15 1535.68  37.72   3.72   0.60    3.39 0.099 -0.856
  1.16 1537.21  37.68   3.73   0.60    3.38 0.099 -0.864
  1.17 1538.74  37.64   3.74   0.60    3.37 0.099 -0.873
  1.18 1540.27  37.60   3.75   0.61    3.35 0.100 -0.881
  1.19 1541.79  37.57   3.76   0.61    3.34 0.100 -0.889
  1.20 1543.31  37.53   3.77   0.62    3.33 0.101 -0.897
  1.21 1544.83  37.49   3.78   0.62    3.31 0.101 -0.905
  1.22 1546.35  37.45   3.79   0.62    3.30 0.101 -0.913
  1.23 1547.87  37.41   3.80   0.63    3.29 0.102 -0.921
  1.24 1549.38  37.38   3.81   0.63    3.27 0.102 -0.929
  1.25 1550.90  37.34   3.82   0.64    3.26 0.102 -0.937
  1.26 1552.41  37.30   3.83   0.64    3.25 0.103 -0.945
