#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  0.00 1350.00  36.00   2.88   0.21    4.00 0.086  0.282
  0.01 1351.49  36.22   2.88   0.21    4.04 0.085  0.271
  0.02 1352.99  36.43   2.89   0.21    4.08 0.085  0.261
  0.03 1354.49  36.64   2.90   0.21    4.12 0.085  0.250
  0.04 1356.01  36.85   2.90   0.22    4.15 0.085  0.240
  0.05 1357.54  37.05   2.91   0.22    4.19 0.084  0.229
  0.06 1359.07  37.24   2.91   0.22    4.22 0.084  0.219
  0.07 1360.61  37.43   2.92   0.23    4.26 0.084  0.208
  0.08 1362.16  37.61   2.92   0.23    4.29 0.084  0.197
  0.09 1363.72  37.78   2.93   0.23    4.32 0.084  0.187
  0.10 1365.28  37.94   2.94   0.23    4.34 0.084  0.176
  0.11 1366.85  38.10   2.94   0.24    4.37 0.083  0.165
  0.12 1368.43  38.25   2.95   0.24    4.39 0.083  0.154
  0.13 1370.01  38.38   2.95   0.24    4.42 0.083  0.144
  0.14 1371.60  38.51   2.96   0.25    4.43 0.083  0.133
  0.15 1373.20  38.64   2.97   0.25    4.45 0.083  0.122
  0.16 1374.80  38.78   2.97   0.25    4.48 0.083  0.111
  0.17 1376.40  38.92   2.98   0.25    4.50 0.083  0.100
  0.18 1378.01  39.05   2.98   0.26    4.52 0.083  0.089
  0.19 1379.63  39.18   2.99   0.26    4.54 0.083  0.079
  0.20 1381.25  39.30   3.00   0.26    4.55 0.083  0.068
  0.21 1382.88  39.42   3.00   0.27    4.57 0.083  0.057
  0.22 1384.51  39.53   3.01   0.27    4.59 0.083  0.046
  0.23 1386.15  39.63   3.01   0.27    4.60 0.083  0.035
  0.24 1387.79  39.72   3.02   0.28    4.61 0.083  0.024
  0.25 1389.43  39.80   3.03   0.28    4.61 0.083  0.013
  0.26 1391.08  39.87   3.03   0.28    4.62 0.083  0.002
  0.27 1392.73  39.93   3.04   0.29    4.62 0.083 -0.008
  0.28 1394.38  39.98   3.05   0.29    4.63 0.083 -0.019
  0.29 1396.03  40.03   3.05   0.29    4.62 0.084 -0.030
  0.30 1397.69  40.07   3.06   0.30    4.62 0.084 -0.041
  0.31 1399.34  40.09   3.06   0.30    4.62 0.084 -0.052
  0.32 1401.00  40.11   3.07   0.30    4.61 0.084 -0.062
  0.33 1402.66  40.14   3.08   0.30    4.61 0.084 -0.073
  0.34 1404.31  40.18   3.08   0.31    4.60 0.084 -0.084
  0.35 1405.97  40.21   3.09   0.31    4.60 0.085 -0.095
  0.36 1407.63  40.23   3.10   0.31    4.60 0.085 -0.105
  0.37 1409.29  40.26   3.10   0.32    4.59 0.085 -0.116
  0.38 1410.95  40.28   3.11   0.32    4.58 0.085 -0.127
  0.39 1412.61  40.30   3.12   0.32    4.58 0.085 -0.137
  0.40 1414.28  40.31   3.12   0.33    4.57 0.086 -0.148
  0.41 1415.94  40.32   3.13   0.33    4.56 0.086 -0.158
  0.42 1417.60  40.33   3.14   0.33    4.55 0.086 -0.169
  0.43 1419.26  40.33   3.14   0.34    4.54 0.086 -0.179
  0.44 1420.92  40.32   3.15   0.34    4.53 0.087 -0.190
  0.45 1422.58  40.31   3.16   0.34    4.52 0.087 -0.200
  0.46 1424.24  40.29   3.16   0.35    4.50 0.087 -0.211
  0.47 1425.90  40.27   3.17   0.35    4.49 0.087 -0.221
  0.48 1427.55  40.24   3.18   0.35    4.47 0.088 -0.231
  0.49 1429.21  40.21   3.19   0.36    4.45 0.088 -0.242
  0.50 1430.86  40.17   3.19   0.36    4.43 0.088 -0.252
  0.51 1432.51  40.13   3.20   0.37    4.41 0.089 -0.262
  0.52 1434.16  40.09   3.21   0.37    4.40 0.089 -0.272
  0.53 1435.80  40.06   3.21   0.37    4.38 0.089 -0.283
  0.54 1437.44  40.03   3.22   0.38    4.36 0.090 -0.293
  0.55 1439.09  40.01   3.23   0.38    4.35 0.090 -0.303
  0.56 1440.73  39.97   3.24   0.38    4.33 0.090 -0.313
  0.57 1442.36  39.94   3.24   0.39    4.31 0.091 -0.323
  0.58 1444.00  39.91   3.25   0.39    4.30 0.091 -0.333
  0.59 1445.64  39.88   3.26   0.39    4.28 0.092 -0.343
  0.60 1447.27  39.85   3.26   0.40    4.26 0.092 -0.353
  0.61 1448.90  39.82   3.27   0.40    4.25 0.092 -0.363
  0.62 1450.53  39.79   3.28   0.40    4.23 0.093 -0.372
  0.63 1452.15  39.75   3.29   0.41    4.22 0.093 -0.382
  0.64 1453.78  39.72   3.29   0.41    4.20 0.093 -0.392
  0.65 1455.40  39.69   3.30   0.41    4.18 0.094 -0.402
  0.66 1457.02  39.65   3.31   0.42    4.17 0.094 -0.411
  0.67 1458.64  39.62   3.32   0.42    4.15 0.094 -0.421
  0.68 1460.26  39.59   3.32   0.42    4.13 0.095 -0.431
  0.69 1461.87  39.55   3.33   0.43    4.12 0.095 -0.440
  0.70 1463.49  39.52   3.34   0.43    4.10 0.095 -0.450
  0.71 1465.10  39.48   3.35   0.44    4.09 0.096 -0.459
  0.72 1466.70  39.45   3.35   0.44    4.07 0.096 -0.469
  0.73 1468.31  39.42   3.36   0.44    4.05 0.097 -0.478
  0.74 1469.91  39.38   3.37   0.45    4.04 0.097 -0.488
  0.75 1471.52  39.34   3.38   0.45    4.02 0.097 -0.497
  0.76 1473.12  39.30   3.39   0.45    4.00 0.098 -0.507
  0.77 1474.71  39.27   3.39   0.46    3.99 0.098 -0.516
