# age (Ga)    Tp (K)
2.6997832449459747  1701.5140096442094
2.7017586424799913  1741.827119870302
2.70201619870493  1639.926595866747
2.7021475209719337  1711.679782917338
2.702527299434819  1687.2185828759077
2.7037592761543867  1623.9506830858043
2.704491827009667  1762.5126773620532
2.705138202492066  1677.3671924504818
2.7066018121145774  1724.9691864665947
2.708172807092054  1661.0492622248746
3.0006671931861213  1784.0831896385002
3.4947608657969975  1720.015842100232
3.497943434043126  1636.4767403335102
3.498691734305535  1778.017734968172
3.498755034748185  1627.0280507324235
3.4988714918487225  1649.0559112991239
3.498954051888251  1664.6721427759098
3.4993429334907225  1738.2290978834465
3.5016829724468708  1689.6193962634154
3.50208126020187  1764.955525121418
3.5045244451051203  1681.2749827097286
3.5048721401765426  1747.0415054692687
